Timestamp,remainder
2001-01-01,4.364224411197938
2001-01-02,1.961041999864392
2001-01-03,2.4578595944913104
2001-01-04,4.454677189118229
2001-01-05,4.851494819507934
2001-01-06,4.548312402097508
2001-01-07,7.745129925198853
2001-01-08,5.541947591351345
2001-01-09,4.538765185978264
2001-01-10,4.635582744842395
2001-01-11,3.532400345429778
2001-01-12,2.329217922058888
2001-01-13,2.426035540527664
2001-01-14,6.222853087470867
2001-01-15,5.419670729781501
2001-01-16,5.116488372092135
2001-01-17,3.6133059069979936
2001-01-18,2.310123489703983
2001-01-19,1.806940965121612
2001-01-20,1.4037587027996778
2001-01-21,1.3005761543754488
2001-01-22,0.8973938920535147
2001-01-23,-1.6057885134359822
2001-01-24,-1.908971109543927
2001-01-25,0.48784658045042306
2001-01-26,4.284664276405238
2001-01-27,5.081481912755407
2001-01-28,4.278299465542659
2001-01-29,4.075117057189345
2001-01-30,4.071934651816264
2001-01-31,1.6687521957792342
2001-02-01,-1.019254646729678
2001-02-02,-2.8224372428376228
2001-02-03,-10.12561936210841
2001-02-04,-11.128801767481491
2001-02-05,-11.731984554324299
2001-02-06,-1.735166959813796
2001-02-07,6.661650968599133
2001-02-08,7.058468420174904
2001-02-09,6.455286110169254
2001-02-10,2.652103573665954
2001-02-11,1.5489212039392442
2001-02-12,6.045738798566163
2001-02-13,6.6425565362442285
2001-02-14,4.9393739639781415
2001-02-15,7.236191630130634
2001-02-16,6.033009177073836
2001-02-17,4.729826819268055
2001-02-18,3.9266443721717224
2001-02-19,3.42346195934806
2001-02-20,3.3202795524848625
2001-02-21,3.817097162012942
2001-02-22,1.7139146730769426
2001-02-23,-7.489267660770565
2001-02-24,-7.29245025687851
2001-02-25,-3.4956324715167284
2001-02-26,-1.3988149722572416
2001-02-27,-0.3019972345791757
2001-02-28,-2.6051795923849568
2001-03-01,-4.460734845837578
2001-03-02,-1.2639169651083648
2001-03-03,-0.3670993719715625
2001-03-04,-2.3702819190220907
2001-03-05,-2.9734642290277407
2001-03-06,0.5233534252038226
2001-03-07,0.9201710555935279
2001-03-08,-2.383011540514417
2001-03-09,-0.38619380444288254
2001-03-10,2.3106239347252995
2001-03-11,4.107441481668502
2001-03-12,5.804258885560557
2001-03-13,5.301076480187476
2001-03-14,3.49789412249811
2001-03-15,3.0947118600597605
2001-03-16,1.5915293354773894
2001-03-17,0.08834695990663022
2001-03-18,-2.9148355944780633
2001-03-19,-3.418017999851145
2001-03-20,-2.52120030997321
2001-03-21,-3.4243828107137233
2001-03-22,-2.2275650491937995
2001-03-23,-2.630747430725023
2001-03-24,-3.6339298360981047
2001-03-25,-3.537112336838618
2001-03-26,-3.840294694644399
2001-03-27,-2.443477243068628
2001-03-28,0.15334049460943788
2001-03-29,1.8501581369200721
2001-03-30,4.34697596996557
2001-03-31,3.5437933737412095
2001-04-01,-0.535008950275369
2001-04-02,1.861808739718981
2001-04-03,0.758625952876173
2001-04-04,5.35544345213566
2001-04-05,4.552261809585616
2001-04-06,1.5490789273753762
2001-04-07,3.2458968081045896
2001-04-08,7.1427140212617815
2001-04-09,2.7395319973584265
2001-04-10,-1.2636508848518133
2001-04-11,-0.6668329088715836
2001-04-12,-1.5700154096120968
2001-04-13,-3.47319791035261
2001-04-14,-5.776380409603007
2001-04-15,-6.379562816466205
2001-04-16,-3.7827450789045542
2001-04-17,-1.785927722696215
2001-04-18,-1.5891098419670016
2001-04-19,0.4077077526599169
2001-04-20,-2.7954747003968805
2001-04-21,-2.0986572965048254
2001-04-22,2.0981603456893936
2001-04-23,7.994978512520902
2001-04-24,5.891795725678094
2001-04-25,3.7886129388352856
2001-04-26,9.38543091493193
2001-04-27,2.3822485094424337
2001-04-28,3.7790657225996256
2001-04-29,5.275883317226544
2001-04-30,6.672701484058052
2001-05-01,7.400093872682191
2001-05-02,-2.4030887234257534
2001-05-03,-1.0062715102685615
2001-05-04,4.990547038032673
2001-05-05,6.987364632659592
2001-05-06,2.884180892142467
2001-05-07,2.480998868122697
2001-05-08,0.37781608127988875
2001-05-09,1.5746344388462603
2001-05-10,-1.0285483479965478
2001-05-11,-1.731730562634766
2001-05-12,-1.5349131588591263
2001-05-13,-1.9380951827624813
2001-05-14,-0.44127758813556284
2001-05-15,-0.4444599935086444
2001-05-16,3.052357601118274
2001-05-17,3.3491744328057393
2001-05-18,3.0459927902556956
2001-05-19,-1.457189615117386
2001-05-20,-1.1603727834299207
2001-05-21,-3.863554998068139
2001-05-22,-4.266737498808652
2001-05-23,-1.7699194274609908
2001-05-24,-0.9731016420992091
2001-05-25,-4.276284715044312
2001-05-26,-2.2794666435802355
2001-05-27,2.317350378842093
2001-05-28,0.6141681640874594
2001-05-29,-2.589014050550759
2001-05-30,-2.3921966466587037
2001-05-31,-2.595378861296922
2001-06-01,-6.410351361962967
2001-06-02,-4.713533004396595
2001-06-03,-3.4167161727091298
2001-06-04,-3.4198985780822113
2001-06-05,-2.2230802205158398
2001-06-06,-1.5262628167402
2001-06-07,-1.3294454128481448
2001-06-08,-0.7326274367514998
2001-06-09,-4.735809842124581
2001-06-10,-3.8389926289673895
2001-06-11,-4.542174843605608
2001-06-12,-4.645357630564831
2001-06-13,-4.048539654468186
2001-06-14,-1.4517226320458576
2001-06-15,-2.5549044652143493
2001-06-16,-0.6580872520571575
2001-06-17,0.8387303424533457
2001-06-18,1.7355475556105375
2001-06-19,0.3323655317071825
2001-06-20,0.2291836985386908
2001-06-21,0.926001102430746
2001-06-22,-0.7771811122074723
2001-06-23,1.019636673037894
2001-06-24,0.5164542676648125
