Timestamp,mean_temp_cor,year,month,day,timestep
2001-04-26,15.300000190734863,2001,4,26,115
2001-04-27,8.300000190734863,2001,4,27,116
2001-04-28,9.699999809265137,2001,4,28,117
2001-04-29,11.199999809265137,2001,4,29,118
2001-04-30,12.600000381469727,2001,4,30,119
2001-05-01,19.200000762939453,2001,5,1,120
2001-05-02,9.40000057220459,2001,5,2,121
2001-05-03,10.800000190734863,2001,5,3,122
2001-05-04,16.80000114440918,2001,5,4,123
2001-05-05,18.80000114440918,2001,5,5,124
2001-05-06,14.699999809265137,2001,5,6,125
2001-05-07,14.300000190734863,2001,5,7,126
2001-05-08,12.199999809265137,2001,5,8,127
2001-05-09,13.40000057220459,2001,5,9,128
2001-05-10,10.800000190734863,2001,5,10,129
2001-05-11,10.100000381469727,2001,5,11,130
2001-05-12,10.300000190734863,2001,5,12,131
2001-05-13,9.90000057220459,2001,5,13,132
2001-05-14,11.40000057220459,2001,5,14,133
2001-05-15,11.40000057220459,2001,5,15,134
2001-05-16,14.90000057220459,2001,5,16,135
2001-05-17,15.199999809265137,2001,5,17,136
2001-05-18,14.90000057220459,2001,5,18,137
2001-05-19,10.40000057220459,2001,5,19,138
2001-05-20,10.699999809265137,2001,5,20,139
2001-05-21,8.0,2001,5,21,140
2001-05-22,7.599999904632568,2001,5,22,141
2001-05-23,10.100000381469727,2001,5,23,142
2001-05-24,10.90000057220459,2001,5,24,143
2001-05-25,7.599999904632568,2001,5,25,144
2001-05-26,9.600000381469727,2001,5,26,145
2001-05-27,14.199999809265137,2001,5,27,146
2001-05-28,12.5,2001,5,28,147
2001-05-29,9.300000190734863,2001,5,29,148
2001-05-30,9.5,2001,5,30,149
2001-05-31,9.300000190734863,2001,5,31,150
2001-06-01,9.199999809265137,2001,6,1,151
2001-06-02,10.90000057220459,2001,6,2,152
2001-06-03,12.199999809265137,2001,6,3,153
2001-06-04,12.199999809265137,2001,6,4,154
2001-06-05,13.40000057220459,2001,6,5,155
2001-06-06,14.100000381469727,2001,6,6,156
2001-06-07,14.300000190734863,2001,6,7,157
2001-06-08,14.90000057220459,2001,6,8,158
2001-06-09,10.90000057220459,2001,6,9,159
2001-06-10,11.800000190734863,2001,6,10,160
2001-06-11,11.100000381469727,2001,6,11,161
2001-06-12,11.0,2001,6,12,162
2001-06-13,11.600000381469727,2001,6,13,163
2001-06-14,14.199999809265137,2001,6,14,164
2001-06-15,13.100000381469727,2001,6,15,165
2001-06-16,15.0,2001,6,16,166
2001-06-17,16.5,2001,6,17,167
2001-06-18,17.399999618530273,2001,6,18,168
2001-06-19,16.0,2001,6,19,169
